sk_equipo,team_name,league,country
1,almeria,laliga,spain
2,athletic club,laliga,spain
3,atletico madrid,laliga,spain
4,barcelona,laliga,spain
5,cadiz,laliga,spain
6,celta vigo,laliga,spain
7,getafe,laliga,spain
8,girona,laliga,spain
9,granada,laliga,spain
10,las palmas,laliga,spain
11,leganes,laliga,spain
12,mallorca,laliga,spain
13,osasuna,laliga,spain
14,rayo vallecano,laliga,spain
15,real betis,laliga,spain
16,real madrid,laliga,spain
17,real sociedad,laliga,spain
18,sevilla,laliga,spain
19,valencia,laliga,spain
20,villarreal,laliga,spain
