sk_jugador,player_natural_id,short_name,long_name,player_positions,overall,potential,age,club_name,nationality_name,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic
1,1,player_1,f3e732f08d09b0d6,LB,86,87,25,real madrid,spain,296054716,957286,87,58,86,79,64,71
2,2,player_2,2e559d2ee09164c0,RB,84,84,29,real madrid,england,273714920,1221136,65,76,61,72,52,65
3,3,player_3,34fab66c97d9d950,CB,81,84,28,real madrid,uruguay,144038996,482000,84,69,79,69,56,80
4,4,player_4,7bbf52358ef62181,ST,88,97,20,real madrid,germany,351915345,1955046,63,55,55,64,36,68
5,5,player_5,94bda0853a66b93e,RW,85,88,22,real madrid,germany,351915345,1955046,72,54,72,85,60,60
6,6,player_6,9ffe3507d60c0a09,ST,94,99,19,real madrid,france,351915345,1955046,69,55,70,53,63,83
7,7,player_7,3f471168db04f45b,RB,96,99,35,real madrid,england,351915345,1955046,77,72,87,54,77,59
8,8,player_8,5613f4a45488db9e,RW,94,99,31,real madrid,brazil,351915345,1955046,82,74,68,71,70,56
9,9,player_9,b0180298904adf83,ST,93,98,18,real madrid,england,351915345,1955046,78,69,68,41,48,50
10,10,player_10,4f6dbee78f7f95a3,RW,82,86,18,real madrid,uruguay,233413209,885340,52,62,84,64,66,65
11,11,player_11,c03915f05aadc0e5,LW,79,81,21,real madrid,colombia,160667400,943632,79,54,53,78,37,75
12,12,player_12,3cab5dd563d7ac6c,CM,90,97,18,real madrid,netherlands,351915345,1955046,82,64,66,68,53,66
13,13,player_13,d8ee75af8eb9a35a,RB,84,93,26,real madrid,uruguay,234738832,1738418,87,73,81,63,77,58
14,14,player_14,5744edfd4495c66f,CM,89,93,31,real madrid,spain,351915345,1955046,67,70,65,65,58,76
15,15,player_15,c7c4b4ee14d0db1f,CB,88,97,32,real madrid,argentina,351915345,1955046,81,70,86,69,82,62
16,16,player_16,6678b746399f5405,CB,83,88,20,real madrid,colombia,302250164,1630179,73,85,59,80,68,66
17,17,player_17,6c17be9a6fa2fdcc,RB,90,97,22,real madrid,uruguay,351915345,1591704,84,71,66,58,56,86
18,18,player_18,ac83d3b712ff685c,CM,83,91,18,real madrid,brazil,182515356,893469,48,61,72,83,50,64
19,19,player_19,9f174514cd74fc23,CDM,79,82,20,real madrid,england,150950965,1172092,86,42,76,81,79,50
20,20,player_20,3571a5632b5e2153,GK,76,85,20,real madrid,spain,120122577,916269,76,60,62,65,70,77
21,21,player_21,95ac5ea80bb7ee50,LW,86,90,31,real madrid,colombia,333351694,1955046,72,90,57,61,91,53
22,22,player_22,e7d429d868df554a,CB,79,85,23,real madrid,germany,122559336,961598,70,45,91,81,77,55
23,23,player_23,cab4db6f7461c5bc,CB,89,90,33,real madrid,netherlands,351915345,1546696,75,60,78,62,83,56
24,24,player_24,58b200b376adbb45,CM,75,80,26,barcelona,netherlands,63635415,461474,65,44,84,70,47,40
25,25,player_25,063a3b227bd6ed56,RB,78,82,18,barcelona,france,157245298,541369,73,78,77,60,60,57
26,26,player_26,d71025b1cf1c2418,CB,81,82,21,barcelona,argentina,199856590,700370,66,55,88,79,55,61
27,27,player_27,1de6a3ff35febf7d,CDM,92,99,32,barcelona,england,351915345,1955046,75,71,73,68,50,75
28,28,player_28,927a1acf0547469c,CB,85,93,29,barcelona,portugal,221046211,1638984,56,41,87,69,59,73
29,29,player_29,598be22c632c2640,CDM,80,83,32,barcelona,uruguay,208612154,627648,64,89,57,76,63,70
30,30,player_30,1dd31cf39e1e1fbd,CDM,85,87,31,barcelona,portugal,309002882,1499924,94,55,75,79,54,70
31,31,player_31,b99211b5f74b762f,CM,82,87,34,barcelona,portugal,255007237,937450,53,76,77,56,72,80
32,32,player_32,b0cf2b73abbcc9b4,LW,87,89,36,barcelona,brazil,351915345,1845755,88,74,60,64,83,62
33,33,player_33,b934f02bf29de100,RB,82,86,17,barcelona,colombia,201378905,1166185,83,76,91,92,99,80
34,34,player_34,37bcb26869d36098,LB,76,81,22,barcelona,uruguay,76885766,313717,92,35,67,60,75,65
35,35,player_35,f378266b495ed227,CM,86,93,17,barcelona,germany,351915345,1425742,81,64,74,85,50,73
36,36,player_36,050b208bd2c9fd88,RB,83,84,29,barcelona,argentina,288044455,1955046,83,91,68,72,64,66
37,37,player_37,df6cc8bd72eef9ec,GK,82,84,36,barcelona,portugal,180778020,959941,81,62,79,83,48,57
38,38,player_38,fa8bf7a582be3a12,LB,86,88,23,barcelona,brazil,266134628,1791206,68,62,71,67,55,63
39,39,player_39,413d3d023326686e,ST,76,79,32,barcelona,uruguay,102963315,398386,60,73,85,61,57,75
40,40,player_40,a7a8f44c96b2f811,GK,75,77,33,barcelona,argentina,92892709,655918,93,71,73,60,52,67
41,41,player_41,b4ca1011857fe46e,ST,87,88,19,barcelona,uruguay,294010195,1769106,95,86,79,70,74,67
42,42,player_42,d8d237db191148b8,CB,84,91,34,barcelona,brazil,304023090,1538918,69,83,77,63,67,74
43,43,player_43,b47c376ac315af58,GK,87,87,28,barcelona,germany,351915345,1406642,97,59,70,66,86,76
44,44,player_44,fc013dd960e5a7e0,RW,72,74,34,barcelona,france,77830712,468251,65,81,62,81,59,63
45,45,player_45,e66b9a39c3f2c05f,ST,95,99,19,barcelona,france,351915345,1955046,57,76,90,75,61,90
46,46,player_46,8bba4c75545a0c51,CB,79,86,23,atletico madrid,france,128009521,941340,67,71,85,73,61,53
47,47,player_47,f7a9872fad6dbc97,CM,80,86,17,atletico madrid,france,124456077,587576,99,42,69,87,62,68
48,48,player_48,c122e42ba1453a5b,GK,84,86,23,atletico madrid,england,235475528,1744028,75,63,87,53,89,65
49,49,player_49,a18849f3f431f2ac,CM,76,82,21,atletico madrid,colombia,122419024,441365,68,65,70,77,50,75
50,50,player_50,35955bcc68e44e15,LB,77,79,32,atletico madrid,uruguay,107421352,436265,66,79,69,85,69,83
51,51,player_51,27a094a350a5ae91,GK,92,96,36,atletico madrid,netherlands,351915345,1955046,68,63,70,70,76,64
52,52,player_52,02c6c26873984801,CDM,88,96,26,atletico madrid,germany,351915345,1955046,77,53,87,85,61,66
53,53,player_53,ad169b6f887cd04a,CM,77,82,36,atletico madrid,argentina,86260124,605035,61,47,71,83,42,83
54,54,player_54,377f9af8f9fd952f,CM,78,83,30,atletico madrid,spain,164398470,976509,61,78,58,71,79,71
55,55,player_55,8738984457e3c9e2,RW,82,90,26,atletico madrid,uruguay,258281796,1321207,83,61,56,69,82,96
56,56,player_56,b4f94c31adc47111,CB,82,91,35,atletico madrid,spain,226982956,1075475,79,68,67,65,59,86
57,57,player_57,b814c0eec6531df6,RB,83,84,30,atletico madrid,uruguay,232311912,1374335,94,59,68,99,56,73
58,58,player_58,1f769e31e82452c4,CB,86,89,36,atletico madrid,portugal,289269230,1955046,56,84,60,53,49,58
59,59,player_59,8b9ac13968ad9e28,ST,79,82,19,atletico madrid,colombia,177445909,1243668,44,67,77,90,77,59
60,60,player_60,a22af40090fb2e53,CM,90,91,35,atletico madrid,germany,351915345,1955046,60,71,68,62,67,66
61,61,player_61,10311e1b3d54f337,ST,83,85,34,atletico madrid,colombia,294001147,1122187,62,59,84,65,86,66
62,62,player_62,6bebefa0e0cfcfcc,GK,87,93,25,atletico madrid,england,286728919,892123,69,67,64,79,76,77
63,63,player_63,6efb90355bb7668b,RB,82,90,36,atletico madrid,england,220047222,1534389,82,55,57,89,49,71
64,64,player_64,3b9ea95aff7b4aaa,CB,94,94,17,atletico madrid,spain,351915345,1955046,79,64,80,72,41,57
65,65,player_65,35075a2189c332ec,LW,87,91,33,atletico madrid,england,351678382,1955046,98,73,58,58,69,65
66,66,player_66,fe5cb820d8ee5703,RB,83,85,19,atletico madrid,france,201160447,1030589,70,78,61,71,62,79
67,67,player_67,91de99af2e3e53eb,LB,86,88,26,atletico madrid,portugal,247685839,898791,92,64,75,81,83,76
68,68,player_68,d38286bd2475903b,CM,72,75,26,atletico madrid,netherlands,71705540,507503,76,91,92,64,46,82
69,69,player_69,8bc56bcdfeebc626,RW,75,79,17,sevilla,netherlands,67053270,233277,72,83,73,51,66,85
70,70,player_70,90285ec3e98137ed,CM,77,85,30,sevilla,brazil,105303337,360508,91,73,74,61,49,71
71,71,player_71,d42016f1208de306,GK,83,90,20,sevilla,spain,289359236,1810771,78,73,75,63,56,75
72,72,player_72,6d4acb8ce647daa8,LB,80,85,19,sevilla,netherlands,160587873,881028,79,58,96,69,49,79
73,73,player_73,e0369ac2506c8e23,ST,76,78,28,sevilla,france,111620184,451427,72,81,62,87,62,40
74,74,player_74,586d547adece0681,RB,76,81,25,sevilla,germany,91487603,579402,74,46,94,57,88,63
75,75,player_75,785fcbab3c9c78d4,GK,77,83,31,sevilla,portugal,80838584,246272,72,99,73,74,68,76
76,76,player_76,bbd9c4c016ef9deb,CM,92,97,29,sevilla,netherlands,351915345,1955046,81,65,89,74,59,73
77,77,player_77,fe13c29d04b24bfc,ST,80,83,25,sevilla,netherlands,125303814,928769,77,75,67,71,52,67
78,78,player_78,b28d6b17bd4c80fa,LB,81,86,35,sevilla,portugal,166513747,1001201,48,78,71,71,85,54
79,79,player_79,4a2b49d35f8f2565,LW,88,92,28,sevilla,colombia,351915345,1627265,99,53,50,53,71,75
80,80,player_80,ec1cb89513bb634a,LW,79,81,36,sevilla,portugal,133463726,1056359,51,70,61,79,49,79
81,81,player_81,e19d909a188c8a5d,CB,80,87,34,sevilla,uruguay,169834181,1293425,75,69,60,44,57,66
82,82,player_82,8e411605644815c1,ST,79,85,33,sevilla,france,114340020,591211,60,78,67,75,60,58
83,83,player_83,cd8bc0c2c6ebcd8d,GK,84,91,19,sevilla,spain,299716231,1955046,85,44,69,47,61,67
84,84,player_84,676dab446c3d0ad0,CM,78,86,18,sevilla,colombia,140129599,629001,83,95,87,66,56,56
85,85,player_85,4cd18fe2a2d0e156,RW,91,94,18,sevilla,uruguay,351915345,1770610,89,75,66,68,88,61
86,86,player_86,539ef3f954eb4841,ST,76,76,31,sevilla,colombia,110833746,465954,57,54,70,79,67,74
87,87,player_87,db85a1dea7cde1cf,LB,80,89,27,sevilla,netherlands,176429172,905002,54,61,52,65,57,66
88,88,player_88,c340e99de57d8131,CM,93,99,34,sevilla,germany,351915345,1955046,79,72,67,77,68,69
89,89,player_89,e61da2e53418f549,GK,82,91,23,sevilla,brazil,238463000,1427160,66,65,55,71,61,65
90,90,player_90,150a7756105e0818,CB,73,81,31,sevilla,colombia,52890065,297528,84,94,72,89,38,78
91,91,player_91,49c8bdf95e537c68,CM,81,87,20,sevilla,germany,164593473,755073,79,71,67,60,36,72
92,92,player_92,1ee943a414fc203b,RW,86,93,28,sevilla,uruguay,351915345,1511147,55,73,78,50,86,60
93,93,player_93,b2c2481c6901b410,LB,80,86,19,sevilla,england,124269248,740853,78,75,51,78,82,95
94,94,player_94,15e5d83f8878825d,CB,85,91,20,sevilla,colombia,256547204,1535184,68,60,77,87,66,59
95,95,player_95,d7303331fbaabbf2,RW,76,84,18,sevilla,spain,120488518,737238,85,77,69,83,53,66
96,96,player_96,67270158d5876cbb,CB,92,96,24,real sociedad,brazil,351915345,1955046,80,68,77,87,75,61
97,97,player_97,5695d52a83f59072,CDM,82,85,34,real sociedad,colombia,218077732,1420441,44,80,71,41,73,66
98,98,player_98,ea5442c4bfe0b3e4,CDM,86,89,20,real sociedad,france,351915345,1647081,85,80,78,56,66,69
99,99,player_99,390e9895c6e515ff,ST,82,86,23,real sociedad,germany,193353835,1116624,89,67,74,71,83,42
100,100,player_100,a6e9f60435358286,CDM,81,84,25,real sociedad,brazil,202229424,1103902,83,37,69,68,59,70
101,101,player_101,ab2944bbdbdc7d66,ST,74,74,25,real sociedad,argentina,56780237,232373,74,76,80,67,43,78
102,102,player_102,19b5346c63022595,LB,77,84,34,real sociedad,france,112953475,397978,68,68,65,77,68,72
103,103,player_103,c529cfe48b9a2a3f,GK,71,77,25,real sociedad,spain,68087259,444697,85,85,52,56,72,63
104,104,player_104,4ece2bee294e9f1a,CDM,72,77,33,real sociedad,germany,77887184,409633,88,98,61,77,83,60
105,105,player_105,b449addec7af0380,RW,79,83,22,real sociedad,argentina,115906713,829381,81,99,89,86,81,68
106,106,player_106,49df8a72d8519608,CB,88,96,19,real sociedad,brazil,351915345,1955046,68,70,73,57,71,66
107,107,player_107,fbb61d9ffb56301b,LW,78,81,22,real sociedad,colombia,138507086,729677,94,76,55,86,58,80
108,108,player_108,d1e4e4bf5fc6f60b,ST,88,91,19,real sociedad,brazil,351915345,1955046,69,68,66,50,55,78
109,109,player_109,4b5d03dae261ad5d,CB,82,88,36,real sociedad,portugal,171825943,886564,54,53,67,67,72,67
110,110,player_110,bef0dcb42f955954,ST,86,86,35,real sociedad,england,328823915,1701204,71,70,60,80,38,61
111,111,player_111,de6b670a27eb6886,CB,78,81,35,real sociedad,uruguay,111122164,388858,64,86,76,61,57,60
112,112,player_112,4a08f7d28e9fa853,GK,85,89,18,real sociedad,england,280524318,1655828,56,67,59,86,99,88
113,113,player_113,dea9dd4d6862ed34,GK,83,91,32,real sociedad,portugal,246332001,1031919,75,62,62,68,79,69
114,114,player_114,a18f211eea79a543,CM,82,85,24,real sociedad,portugal,186670730,1294277,61,64,53,50,50,52
115,115,player_115,2623d35f11f54d8b,CB,77,79,33,real sociedad,spain,135766608,1034771,76,83,66,74,88,76
116,116,player_116,e7c24b81b3b9441c,LW,80,83,35,real sociedad,portugal,169908552,645650,60,49,90,76,41,43
117,117,player_117,621e521e0dc69ea0,RB,73,75,33,real sociedad,england,77265503,429899,60,63,69,45,51,41
118,118,player_118,6a6b262fb752dd6b,GK,91,93,31,real sociedad,uruguay,351915345,1955046,66,59,99,77,53,90
119,119,player_119,49b3dcc808c6dbb7,CB,80,81,18,real sociedad,netherlands,202924491,1114239,69,47,77,52,74,67
120,120,player_120,f501750d6b744fc0,CB,80,89,21,real sociedad,portugal,185413110,1380584,79,90,71,81,48,85
121,121,player_121,e1e75d0b67e450fa,CM,69,78,17,villarreal,brazil,52367976,210548,79,68,79,82,93,60
122,122,player_122,4c099903b62fa7eb,CM,77,80,26,villarreal,germany,120897245,657277,40,65,84,76,50,64
123,123,player_123,851a71faa5e199cf,CM,82,90,21,villarreal,spain,251951062,1429414,85,61,87,70,52,65
124,124,player_124,ee4d80e4040d419c,CB,79,86,29,villarreal,germany,101861156,405451,93,63,80,74,62,53
125,125,player_125,54cbc7fae2e519aa,CB,69,74,22,villarreal,england,33168517,261170,79,66,69,70,53,65
126,126,player_126,5d1d1f9ac5ef77e4,LW,84,84,23,villarreal,germany,189416713,851890,61,51,50,42,99,61
127,127,player_127,c2319c6d6fd51e57,CM,72,76,18,villarreal,argentina,58753118,304507,67,94,60,81,56,68
128,128,player_128,8319abb5d344f2d2,GK,80,85,18,villarreal,spain,206173897,1469030,81,77,89,77,75,61
129,129,player_129,cb0651332b164cd2,ST,77,84,29,villarreal,spain,83300254,559117,76,99,69,63,70,70
130,130,player_130,097ed5232550e497,CB,73,77,23,villarreal,colombia,89268466,612864,72,75,87,94,75,64
131,131,player_131,fe40596f4804a461,ST,80,83,24,villarreal,germany,208357379,1461479,58,91,67,58,61,70
132,132,player_132,0a359eefb01a873b,CM,85,86,32,villarreal,argentina,288342262,1286689,84,84,70,65,77,68
133,133,player_133,6a8d8ac2502d74df,RW,81,83,33,villarreal,netherlands,237792858,824893,99,48,47,65,65,63
134,134,player_134,05b0daebbe2911dd,LB,82,83,29,villarreal,france,261197806,848323,67,52,77,70,59,54
135,135,player_135,25c2482d2e24a723,CM,75,83,20,villarreal,uruguay,65162006,385717,72,69,72,84,83,53
136,136,player_136,f492b586a99bf54a,CM,72,80,20,villarreal,colombia,46530459,251554,70,77,59,72,67,65
137,137,player_137,c796423d4f9f9772,GK,70,79,24,villarreal,germany,53966791,186094,73,92,53,60,89,64
138,138,player_138,35d4ffca3a66aeb5,RW,85,94,25,villarreal,portugal,351915345,1955046,67,66,76,64,77,82
139,139,player_139,c4d43bcc7b8ec7d8,GK,80,85,19,villarreal,netherlands,160696611,1167876,79,61,58,81,68,66
140,140,player_140,8bdc490d621c6129,CM,71,78,32,villarreal,england,44751974,232385,74,62,78,99,63,50
141,141,player_141,a847a858f207c50f,CM,82,87,30,villarreal,brazil,229234400,733652,64,46,67,67,73,61
142,142,player_142,5bc15ed10a36c658,RB,75,75,19,villarreal,germany,80674693,323165,74,67,62,51,40,66
143,143,player_143,66e40ce2fe963233,CDM,75,81,26,villarreal,france,94366587,742105,78,44,81,59,44,74
144,144,player_144,37e03e400add9d41,GK,83,86,18,athletic club,portugal,180413240,1108135,49,69,83,86,77,70
145,145,player_145,1a9b3a06e2ef64f1,CB,86,91,19,athletic club,portugal,313066198,1912120,67,81,71,58,70,75
146,146,player_146,c22dedfad3b1e520,RW,89,91,27,athletic club,spain,351915345,1576161,69,76,53,78,64,53
147,147,player_147,51f8a302b6251908,CB,81,89,22,athletic club,england,179946170,1219895,67,77,87,64,54,67
148,148,player_148,6baabe78fcd7e0b2,GK,76,76,25,athletic club,portugal,95057800,462598,68,82,68,76,30,72
149,149,player_149,ba01ba1c29486090,LB,77,79,23,athletic club,colombia,116647413,428340,58,70,53,60,49,58
150,150,player_150,c29116c6b296e2fc,CB,71,77,20,athletic club,colombia,67314881,530320,96,56,56,67,85,83
151,151,player_151,2b96b768e7a0dd33,CM,80,84,36,athletic club,uruguay,179811503,868000,65,68,66,75,82,78
152,152,player_152,cdfb675ee9c3a050,ST,79,86,30,athletic club,argentina,119645901,821075,59,69,60,54,69,76
153,153,player_153,2db7eb36777b6faa,ST,71,73,27,athletic club,spain,48143590,335978,75,74,78,70,62,67
154,154,player_154,17e8e3b4025d9318,RW,80,87,21,athletic club,france,150365256,599288,77,46,79,75,66,64
155,155,player_155,3cadbb3ff4a40a8e,CM,68,71,31,athletic club,germany,40426853,273888,86,56,76,81,71,67
156,156,player_156,94789cccfc2b0841,GK,82,87,21,athletic club,netherlands,168902206,1000976,70,73,75,57,73,88
157,157,player_157,5d45512e64d8c2c2,CM,71,73,21,athletic club,france,64112656,323218,85,84,51,77,67,81
158,158,player_158,febd32b6b8e5dacb,RW,78,82,27,athletic club,netherlands,101033105,579447,59,86,75,70,42,64
159,159,player_159,6df38f9ada4f1191,RW,70,79,36,athletic club,portugal,49158121,294457,76,45,72,55,80,70
160,160,player_160,2deab5098cfb3db2,ST,75,81,32,athletic club,portugal,73212498,557140,79,55,63,82,72,77
161,161,player_161,7201e086157923ce,CM,76,76,21,athletic club,england,107929893,615510,69,45,65,55,65,56
162,162,player_162,8854e4dd33e27b29,RB,70,78,28,athletic club,argentina,51032637,399756,80,62,76,72,54,77
163,163,player_163,debbac12c7d9dd7d,GK,75,84,26,athletic club,germany,100594506,416544,67,85,57,70,70,60
164,164,player_164,4d45de76d35fa592,CB,87,93,30,athletic club,france,351915345,1302039,75,81,64,63,42,60
165,165,player_165,607a28e3357abb03,CM,76,82,24,athletic club,france,117749817,755670,72,49,65,57,68,63
166,166,player_166,8018ab5b1fb889c2,CM,78,82,33,valencia,portugal,118521069,483144,85,83,88,69,79,80
