sk_tiempo,fecha,anio,trimestre,mes,semana,dia_semana,es_fin_semana
1,2020-09-12,2020,3,9,37,Saturday,1
2,2020-09-19,2020,3,9,38,Saturday,1
3,2020-09-26,2020,3,9,39,Saturday,1
4,2020-10-03,2020,4,10,40,Saturday,1
5,2020-10-10,2020,4,10,41,Saturday,1
6,2020-10-17,2020,4,10,42,Saturday,1
7,2020-10-24,2020,4,10,43,Saturday,1
8,2020-10-31,2020,4,10,44,Saturday,1
9,2020-11-07,2020,4,11,45,Saturday,1
10,2020-11-14,2020,4,11,46,Saturday,1
11,2020-11-21,2020,4,11,47,Saturday,1
12,2020-11-28,2020,4,11,48,Saturday,1
13,2020-12-05,2020,4,12,49,Saturday,1
14,2020-12-12,2020,4,12,50,Saturday,1
15,2020-12-19,2020,4,12,51,Saturday,1
16,2020-12-26,2020,4,12,52,Saturday,1
17,2021-01-02,2021,1,1,53,Saturday,1
18,2021-01-09,2021,1,1,1,Saturday,1
19,2021-01-16,2021,1,1,2,Saturday,1
20,2021-01-23,2021,1,1,3,Saturday,1
21,2021-01-30,2021,1,1,4,Saturday,1
22,2021-02-06,2021,1,2,5,Saturday,1
23,2021-02-13,2021,1,2,6,Saturday,1
24,2021-02-20,2021,1,2,7,Saturday,1
25,2021-02-27,2021,1,2,8,Saturday,1
26,2021-03-06,2021,1,3,9,Saturday,1
27,2021-03-13,2021,1,3,10,Saturday,1
28,2021-03-20,2021,1,3,11,Saturday,1
29,2021-03-27,2021,1,3,12,Saturday,1
30,2021-04-03,2021,2,4,13,Saturday,1
31,2021-04-10,2021,2,4,14,Saturday,1
32,2021-04-17,2021,2,4,15,Saturday,1
33,2021-04-24,2021,2,4,16,Saturday,1
34,2021-05-01,2021,2,5,17,Saturday,1
35,2021-05-08,2021,2,5,18,Saturday,1
36,2021-05-15,2021,2,5,19,Saturday,1
37,2021-05-22,2021,2,5,20,Saturday,1
38,2021-08-14,2021,3,8,32,Saturday,1
39,2021-08-21,2021,3,8,33,Saturday,1
40,2021-08-28,2021,3,8,34,Saturday,1
41,2021-09-04,2021,3,9,35,Saturday,1
42,2021-09-11,2021,3,9,36,Saturday,1
43,2021-09-18,2021,3,9,37,Saturday,1
44,2021-09-25,2021,3,9,38,Saturday,1
45,2021-10-02,2021,4,10,39,Saturday,1
46,2021-10-09,2021,4,10,40,Saturday,1
47,2021-10-16,2021,4,10,41,Saturday,1
48,2021-10-23,2021,4,10,42,Saturday,1
49,2021-10-30,2021,4,10,43,Saturday,1
50,2021-11-06,2021,4,11,44,Saturday,1
51,2021-11-13,2021,4,11,45,Saturday,1
52,2021-11-20,2021,4,11,46,Saturday,1
53,2021-11-27,2021,4,11,47,Saturday,1
54,2021-12-04,2021,4,12,48,Saturday,1
55,2021-12-11,2021,4,12,49,Saturday,1
56,2021-12-18,2021,4,12,50,Saturday,1
57,2021-12-25,2021,4,12,51,Saturday,1
58,2022-01-01,2022,1,1,52,Saturday,1
59,2022-01-08,2022,1,1,1,Saturday,1
60,2022-01-15,2022,1,1,2,Saturday,1
61,2022-01-22,2022,1,1,3,Saturday,1
62,2022-01-29,2022,1,1,4,Saturday,1
63,2022-02-05,2022,1,2,5,Saturday,1
64,2022-02-12,2022,1,2,6,Saturday,1
