sk_rendimiento,fk_tiempo,fk_temporada,fk_equipo,fk_rival,es_local,goles_favor,goles_contra,tiros,tiros_puerta,corners,faltas,amarillas,rojas,resultado,xg_partido,xga_partido,source_id,load_timestamp
1,1,1,16,4,1,4,1,17,4,4,12,2,0,h,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.593603
2,1,1,4,16,0,1,4,4,5,5,14,3,0,D,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.593626
3,2,1,16,3,1,1,1,15,7,10,10,1,0,d,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.593754
4,2,1,3,16,0,1,1,8,4,5,8,2,0,D,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.593771
5,3,1,16,18,1,1,1,15,3,6,18,0,0,h,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.593848
6,3,1,18,16,0,1,1,7,5,2,11,1,0,D,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.593863
7,4,1,16,17,1,4,0,18,2,4,11,1,0,h,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.593922
8,4,1,17,16,0,0,4,8,2,4,12,1,0,D,2.1042105263157893,1.0342105263157895,F1_laliga,2026-05-22 10:28:50.593936
9,5,1,16,20,1,0,0,15,7,5,13,2,0,d,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.593991
10,5,1,20,16,0,0,0,11,3,4,17,4,0,D,2.0105263157894737,0.9468421052631578,F1_laliga,2026-05-22 10:28:50.594005
11,6,1,16,2,1,0,2,11,4,5,8,0,0,a,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594062
12,6,1,2,16,0,2,0,14,4,2,12,1,0,D,1.928157894736842,0.966842105263158,F1_laliga,2026-05-22 10:28:50.594076
13,7,1,16,19,1,0,1,17,6,3,12,1,0,h,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594129
14,7,1,19,16,0,1,0,9,5,1,10,3,0,D,1.6563157894736842,1.1736842105263159,F1_laliga,2026-05-22 10:28:50.594143
15,8,1,16,15,1,0,0,16,7,5,10,3,0,d,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594196
16,8,1,15,16,0,0,0,14,3,6,9,3,0,D,1.4784210526315789,1.0126315789473683,F1_laliga,2026-05-22 10:28:50.594209
17,9,1,16,13,1,1,2,14,10,4,11,2,0,a,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594263
18,9,1,13,16,0,2,1,8,6,4,16,1,0,D,1.792894736842105,1.1571052631578946,F1_laliga,2026-05-22 10:28:50.594286
19,10,1,16,6,1,1,1,13,4,6,17,4,0,d,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594346
20,10,1,6,16,0,1,1,5,1,5,13,1,0,D,1.2586842105263158,1.2305263157894737,F1_laliga,2026-05-22 10:28:50.594359
21,11,1,16,7,1,5,1,13,2,2,17,0,0,h,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594415
22,11,1,7,16,0,1,5,7,7,4,15,0,0,D,1.3168421052631578,1.4318421052631578,F1_laliga,2026-05-22 10:28:50.594434
23,12,1,16,14,1,1,1,8,7,1,10,1,0,d,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594490
24,12,1,14,16,0,1,1,9,7,5,20,2,0,D,1.3757894736842105,1.3344736842105263,F1_laliga,2026-05-22 10:28:50.594504
25,13,1,16,8,1,0,1,15,7,5,5,2,0,a,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594581
26,13,1,8,16,0,1,0,14,2,1,18,1,0,D,1.6707894736842106,1.5489473684210526,F1_laliga,2026-05-22 10:28:50.594596
27,14,1,16,12,1,1,1,11,5,6,15,1,0,h,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594661
28,14,1,12,16,0,1,1,9,5,5,11,0,0,D,1.2934210526315788,1.784736842105263,F1_laliga,2026-05-22 10:28:50.594674
29,15,1,16,1,1,1,0,13,5,5,15,2,0,h,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594730
30,15,1,1,16,0,0,1,7,5,2,10,0,0,D,1.3,1.5910526315789475,F1_laliga,2026-05-22 10:28:50.594743
31,16,1,16,5,1,3,3,13,7,4,18,3,0,d,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594797
32,16,1,5,16,0,3,3,6,6,3,18,0,0,D,1.4460526315789475,1.5723684210526316,F1_laliga,2026-05-22 10:28:50.594812
33,17,1,16,9,1,3,2,18,2,1,12,2,0,a,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594867
34,17,1,9,16,0,2,3,15,7,3,15,2,0,D,1.2294736842105263,1.48,F1_laliga,2026-05-22 10:28:50.594881
35,18,1,16,10,1,0,0,8,7,5,9,5,0,d,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.594935
36,18,1,10,16,0,0,0,7,3,3,7,1,0,D,1.3068421052631578,1.7763157894736843,F1_laliga,2026-05-22 10:28:50.594948
37,19,1,16,11,1,2,1,10,4,6,14,4,1,h,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.595002
38,19,1,11,16,0,1,2,13,2,4,9,2,0,D,0.9410526315789474,1.8444736842105265,F1_laliga,2026-05-22 10:28:50.595016
39,20,1,4,16,1,0,3,6,6,3,13,0,0,a,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595070
40,20,1,16,4,0,3,0,12,1,1,15,3,0,D,2.2294736842105265,0.8292105263157895,F1_laliga,2026-05-22 10:28:50.595083
41,21,1,4,3,1,0,2,10,6,7,8,4,0,a,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595136
42,21,1,3,4,0,2,0,8,2,2,7,2,0,D,1.9155263157894737,0.8713157894736842,F1_laliga,2026-05-22 10:28:50.595152
43,22,1,4,18,1,2,2,13,5,6,9,0,0,d,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595207
44,22,1,18,4,0,2,2,11,7,2,13,1,0,D,2.236842105263158,0.6342105263157896,F1_laliga,2026-05-22 10:28:50.595221
45,23,1,4,17,1,2,2,18,4,5,10,5,0,h,2.3263157894736843,0.5984210526315789,F1_laliga,2026-05-22 10:28:50.595281
