player_id,short_name,long_name,player_positions,overall,potential,age,club_name,league_name,nationality_name,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,goals_real,assists_real,minutes_played
1,player_1,f3e732f08d09b0d6,LB,86,87,25,real madrid,la liga,spain,296054716,957286,87,58,86,79,64,71,0,0,2789
2,player_2,2e559d2ee09164c0,RB,84,84,29,real madrid,la liga,england,273714920,1221136,65,76,61,72,52,65,0,0,843
3,player_3,34fab66c97d9d950,CB,81,84,28,real madrid,la liga,uruguay,144038996,482000,84,69,79,69,56,80,1,2,104
4,player_4,7bbf52358ef62181,ST,88,97,20,real madrid,la liga,germany,351915345,1955046,63,55,55,64,36,68,2,2,284
5,player_5,94bda0853a66b93e,RW,85,88,22,real madrid,la liga,germany,351915345,1955046,72,54,72,85,60,60,3,5,3166
6,player_6,9ffe3507d60c0a09,ST,94,99,19,real madrid,la liga,france,351915345,1955046,69,55,70,53,63,83,2,2,2779
7,player_7,3f471168db04f45b,RB,96,99,35,real madrid,la liga,england,351915345,1955046,77,72,87,54,77,59,1,2,361
8,player_8,5613f4a45488db9e,RW,94,99,31,real madrid,la liga,brazil,351915345,1955046,82,74,68,71,70,56,0,2,739
9,player_9,b0180298904adf83,ST,93,98,18,real madrid,la liga,england,351915345,1955046,78,69,68,41,48,50,1,0,3397
10,player_10,4f6dbee78f7f95a3,RW,82,86,18,real madrid,la liga,uruguay,233413209,885340,52,62,84,64,66,65,0,2,2454
11,player_11,c03915f05aadc0e5,LW,79,81,21,real madrid,la liga,colombia,160667400,943632,79,54,53,78,37,75,4,5,303
12,player_12,3cab5dd563d7ac6c,CM,90,97,18,real madrid,la liga,netherlands,351915345,1955046,82,64,66,68,53,66,0,5,1093
13,player_13,d8ee75af8eb9a35a,RB,84,93,26,real madrid,la liga,uruguay,234738832,1738418,87,73,81,63,77,58,0,2,337
14,player_14,5744edfd4495c66f,CM,89,93,31,real madrid,la liga,spain,351915345,1955046,67,70,65,65,58,76,1,2,2649
15,player_15,c7c4b4ee14d0db1f,CB,88,97,32,real madrid,la liga,argentina,351915345,1955046,81,70,86,69,82,62,0,1,2795
16,player_16,6678b746399f5405,CB,83,88,20,real madrid,la liga,colombia,302250164,1630179,73,85,59,80,68,66,1,1,1875
17,player_17,6c17be9a6fa2fdcc,RB,90,97,22,real madrid,la liga,uruguay,351915345,1591704,84,71,66,58,56,86,1,0,190
18,player_18,ac83d3b712ff685c,CM,83,91,18,real madrid,la liga,brazil,182515356,893469,48,61,72,83,50,64,2,3,497
19,player_19,9f174514cd74fc23,CDM,79,82,20,real madrid,la liga,england,150950965,1172092,86,42,76,81,79,50,1,2,2925
20,player_20,3571a5632b5e2153,GK,76,85,20,real madrid,la liga,spain,120122577,916269,76,60,62,65,70,77,1,1,459
21,player_21,95ac5ea80bb7ee50,LW,86,90,31,real madrid,la liga,colombia,333351694,1955046,72,90,57,61,91,53,2,4,729
22,player_22,e7d429d868df554a,CB,79,85,23,real madrid,la liga,germany,122559336,961598,70,45,91,81,77,55,1,0,2199
23,player_23,cab4db6f7461c5bc,CB,89,90,33,real madrid,la liga,netherlands,351915345,1546696,75,60,78,62,83,56,0,2,2140
24,player_24,58b200b376adbb45,CM,75,80,26,barcelona,la liga,netherlands,63635415,461474,65,44,84,70,47,40,0,4,2998
25,player_25,063a3b227bd6ed56,RB,78,82,18,barcelona,la liga,france,157245298,541369,73,78,77,60,60,57,1,3,2730
26,player_26,d71025b1cf1c2418,CB,81,82,21,barcelona,la liga,argentina,199856590,700370,66,55,88,79,55,61,0,2,1109
27,player_27,1de6a3ff35febf7d,CDM,92,99,32,barcelona,la liga,england,351915345,1955046,75,71,73,68,50,75,0,1,1475
28,player_28,927a1acf0547469c,CB,85,93,29,barcelona,la liga,portugal,221046211,1638984,56,41,87,69,59,73,1,2,384
29,player_29,598be22c632c2640,CDM,80,83,32,barcelona,la liga,uruguay,208612154,627648,64,89,57,76,63,70,1,1,2351
30,player_30,1dd31cf39e1e1fbd,CDM,85,87,31,barcelona,la liga,portugal,309002882,1499924,94,55,75,79,54,70,0,0,1189
