team,season,xG,xGA,xPTS,pts,wins,draws,losses,goals,goals_against,position
Real Madrid,2020-21,84.72,31.51,88.27,96,32,0,5,83,27,1
Barcelona,2020-21,88.4,22.74,79.52,90,30,0,8,93,19,2
Atletico Madrid,2020-21,72.79,33.11,79.54,83,27,2,8,62,28,3
Sevilla,2020-21,85.0,24.1,72.01,78,26,0,12,82,27,4
Real Sociedad,2020-21,79.96,39.3,68.85,78,26,0,11,70,41,5
Villarreal,2020-21,76.4,35.98,67.91,76,25,1,12,65,40,6
Athletic Club,2020-21,73.27,36.74,55.72,66,22,0,15,74,31,7
Valencia,2020-21,62.94,44.6,67.5,71,23,2,13,70,45,8
Real Betis,2020-21,56.18,38.48,60.57,59,19,2,16,64,39,9
Osasuna,2020-21,68.13,43.97,46.36,55,18,1,19,58,42,10
Celta Vigo,2020-21,47.83,46.76,57.26,61,20,1,16,51,48,11
Getafe,2020-21,50.04,54.41,50.39,54,18,0,20,55,53,12
Rayo Vallecano,2020-21,52.28,50.71,49.2,51,17,0,20,48,51,13
Girona,2020-21,63.49,58.86,38.46,43,14,1,23,68,59,14
Mallorca,2020-21,49.15,67.82,39.11,45,15,0,22,48,61,15
Almeria,2020-21,49.4,60.46,36.18,37,12,1,25,55,55,16
Cadiz,2020-21,54.95,59.75,30.56,33,11,0,26,58,66,17
Granada,2020-21,46.72,56.24,30.58,31,10,1,27,51,61,18
Las Palmas,2020-21,49.66,67.5,26.24,31,10,1,26,45,66,19
Leganes,2020-21,35.76,70.09,24.18,26,8,2,28,32,70,20
Real Madrid,2021-22,94.62,31.43,87.31,95,31,2,4,89,31,1
Barcelona,2021-22,77.9,28.82,78.91,83,27,2,9,72,26,2
Atletico Madrid,2021-22,84.19,41.83,75.33,83,27,2,8,72,39,3
Sevilla,2021-22,91.33,36.9,70.2,77,25,2,11,92,36,4
Real Sociedad,2021-22,86.97,46.92,68.32,78,26,0,11,92,45,5
Villarreal,2021-22,75.21,49.81,75.28,79,26,1,11,82,54,6
Athletic Club,2021-22,67.83,36.88,65.87,67,22,1,14,57,37,7
Valencia,2021-22,71.34,49.3,54.83,65,21,2,15,80,47,8
Real Betis,2021-22,71.62,47.87,59.3,68,22,2,13,80,53,9
Osasuna,2021-22,58.6,54.04,53.91,64,21,1,16,67,54,10
Celta Vigo,2021-22,58.95,54.16,53.55,61,20,1,16,62,59,11
Getafe,2021-22,50.45,51.57,46.4,48,16,0,22,52,45,12
Rayo Vallecano,2021-22,55.96,51.03,41.47,45,15,0,22,59,53,13
Girona,2021-22,43.36,61.19,34.04,41,13,2,23,43,55,14
Mallorca,2021-22,58.59,54.71,38.02,39,13,0,24,51,52,15
Almeria,2021-22,60.09,55.73,32.65,39,13,0,25,68,55,16
Cadiz,2021-22,43.88,67.67,39.25,34,11,1,25,43,61,17
Granada,2021-22,43.2,59.11,29.03,29,9,2,27,46,51,18
