player_id,short_name,long_name,player_positions,overall,potential,age,club_name,league_name,nationality_name,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,goals_real,assists_real,minutes_played
1,Player_1,Player Full Name 1,LB,86,87,25,Real Madrid,La Liga,Spain,296054716,957286,87,58,86,79,64,71,0,0,2789
2,Player_2,Player Full Name 2,RB,84,84,29,Real Madrid,La Liga,England,273714920,1221136,65,76,61,72,52,65,0,0,843
3,Player_3,Player Full Name 3,CB,81,84,28,Real Madrid,La Liga,Uruguay,144038996,482000,84,69,79,69,56,80,1,2,104
4,Player_4,Player Full Name 4,ST,88,97,20,Real Madrid,La Liga,Germany,352226137,2668927,63,55,55,64,36,68,2,2,284
5,Player_5,Player Full Name 5,RW,85,88,22,Real Madrid,La Liga,Germany,371410188,2444434,72,54,72,85,60,60,3,5,3166
6,Player_6,Player Full Name 6,ST,94,99,19,Real Madrid,La Liga,France,696610885,3219450,69,55,70,53,63,83,2,2,2779
7,Player_7,Player Full Name 7,RB,96,99,35,Real Madrid,La Liga,England,1365517525,9299723,77,72,87,54,77,59,1,2,361
8,Player_8,Player Full Name 8,RW,94,99,31,Real Madrid,La Liga,Brazil,961091295,5526442,82,74,68,71,70,56,0,2,739
9,Player_9,Player Full Name 9,ST,93,98,18,Real Madrid,La Liga,England,643207849,4779880,78,69,68,41,48,50,1,0,3397
10,Player_10,Player Full Name 10,RW,82,86,18,Real Madrid,La Liga,Uruguay,233413209,885340,52,62,84,64,66,65,0,2,2454
11,Player_11,Player Full Name 11,LW,79,81,21,Real Madrid,La Liga,Colombia,160667400,943632,79,54,53,78,37,75,4,5,303
12,Player_12,Player Full Name 12,CM,90,97,18,Real Madrid,La Liga,Netherlands,517478069,3806596,82,64,66,68,53,66,0,5,1093
13,Player_13,Player Full Name 13,RB,84,93,26,Real Madrid,La Liga,Uruguay,234738832,1738418,87,73,81,63,77,58,0,2,337
14,Player_14,Player Full Name 14,CM,89,93,31,Real Madrid,La Liga,Spain,590637169,4051889,67,70,65,65,58,76,1,2,2649
15,Player_15,Player Full Name 15,CB,88,97,32,Real Madrid,La Liga,Argentina,497466357,2222009,81,70,86,69,82,62,0,1,2795
16,Player_16,Player Full Name 16,CB,83,88,20,Real Madrid,La Liga,Colombia,302250164,1630179,73,85,59,80,68,66,1,1,1875
17,Player_17,Player Full Name 17,RB,90,97,22,Real Madrid,La Liga,Uruguay,471731558,1591704,84,71,66,58,56,86,1,0,190
18,Player_18,Player Full Name 18,CM,83,91,18,Real Madrid,La Liga,Brazil,182515356,893469,48,61,72,83,50,64,2,3,497
19,Player_19,Player Full Name 19,CDM,79,82,20,Real Madrid,La Liga,England,150950965,1172092,86,42,76,81,79,50,1,2,2925
20,Player_20,Player Full Name 20,GK,76,85,20,Real Madrid,La Liga,Spain,120122577,916269,76,60,62,65,70,77,1,1,459
21,Player_21,Player Full Name 21,LW,86,90,31,Real Madrid,La Liga,Colombia,333351694,2325223,72,90,57,61,91,53,2,4,729
22,Player_22,Player Full Name 22,CB,79,85,23,Real Madrid,La Liga,Germany,122559336,961598,70,45,91,81,77,55,1,0,2199
23,Player_23,Player Full Name 23,CB,89,90,33,Real Madrid,La Liga,Netherlands,414729873,1546696,75,60,78,62,83,56,0,2,2140
24,Player_24,Player Full Name 24,CM,75,80,26,Barcelona,La Liga,Netherlands,63635415,461474,65,44,84,70,47,40,0,4,2998
25,Player_25,Player Full Name 25,RB,78,82,18,Barcelona,La Liga,France,157245298,541369,73,78,77,60,60,57,1,3,2730
26,Player_26,Player Full Name 26,CB,81,82,21,Barcelona,La Liga,Argentina,199856590,700370,66,55,88,79,55,61,0,2,1109
27,Player_27,Player Full Name 27,CDM,92,99,32,Barcelona,La Liga,England,660095621,3245645,75,71,73,68,50,75,0,1,1475
28,Player_28,Player Full Name 28,CB,85,93,29,Barcelona,La Liga,Portugal,221046211,1638984,56,41,87,69,59,73,1,2,384
29,Player_29,Player Full Name 29,CDM,80,83,32,Barcelona,La Liga,Uruguay,208612154,627648,64,89,57,76,63,70,1,1,2351
30,Player_30,Player Full Name 30,CDM,85,87,31,Barcelona,La Liga,Portugal,309002882,1499924,94,55,75,79,54,70,0,0,1189
31,Player_31,Player Full Name 31,CM,82,87,34,Barcelona,La Liga,Portugal,255007237,937450,53,76,77,56,72,80,0,2,2768
32,Player_32,Player Full Name 32,LW,87,89,36,Barcelona,La Liga,Brazil,354467375,1845755,88,74,60,64,83,62,1,4,1568
33,Player_33,Player Full Name 33,RB,82,86,17,Barcelona,La Liga,Colombia,201378905,1166185,83,76,91,92,99,80,0,2,3309
